Altium Designer Pick and Place Locations
D:\Work\Project\Device\2Hire\2HE2E_Tester\SYS_Main\Hardware\2HE2e_Tester\Gerber 15-07-2024 17-40-59\Pick Place for 2HE2E_Tester.txt

========================================================================================================================
File Design Information:

Date:       15/07/24
Time:       17:41
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Value      Comment              Layer    Footprint                          Center-X(mm) Center-Y(mm) Rotation Description                                                                                                             
J6         ""         "2HBM2 Car"          TopLayer WR-MPC3_24N_662024231722           207.7000     9.9700       0        "Connettore 12x2 WE 662024231722"                                                                                       
R18        470        Resistor             TopLayer 0603M                              125.4760     91.5670      90       Resistor                                                                                                                
DZ1        ""         LM4040D30FTA         TopLayer SOT23_ZR4040                       122.1740     91.6940      90       "Reference 3V"                                                                                                          
U24        ""         LMV358               TopLayer SOIC127P600-8N                     105.5370     23.6220      180      "Dual Operational Amplifier Single Supply Rail to Rail"                                                                 
R8         560        Resistor             TopLayer 0603M                              183.0300     139.0000     270      Resistor                                                                                                                
Y1         ""         32.768kHz            TopLayer WE-XTAL_CFPX-217                   96.1390      112.5220     180      "WE-XTAL  830108488401- Watch Crystals  32.768kHz ±20ppm 12.5pF"                                                        
U29        ""         LMV358               TopLayer SOIC127P600-8N                     233.1720     137.0330     270      "Dual Operational Amplifier Single Supply Rail to Rail"                                                                 
U28        ""         ACS724LLCTR-05AB-T   TopLayer SOIC127P600-8N                     209.4230     136.9060     270      "Automotive-Grade, Galvanically Isolated Current Sensor IC with Common-Mode Field Rejection"                            
U27        ""         MAX4163ESA+          TopLayer SOIC127P600-8N                     220.7260     146.1770     180      "Op Amps UCSP, Micropower, Single-Supply, 10V, Rail-to-Rail I/O"                                                        
U26        ""         MAX8515EXK-T         TopLayer SC70-SOT65P210X110-5N              267.7160     144.0180     180      "Wide-Input 0.6V Shunt Regulators for Isolated DC-to-DC Converters"                                                     
U25        ""         74LVC1G97            TopLayer TSOP65P211-6N                      54.9910      21.5900      270      "Logic gate configurabile"                                                                                              
U23        ""         74LVC1G97            TopLayer TSOP65P211-6N                      54.9910      25.4000      270      "Logic gate configurabile"                                                                                              
U22        ""         ACS724LLCTR-05AB-T   TopLayer SOIC127P600-8N                     106.0450     8.0010       90       "Automotive-Grade, Galvanically Isolated Current Sensor IC with Common-Mode Field Rejection"                            
U21        ""         NCP302155A           TopLayer NCP302155A                         48.1205      16.7640      180      "Integrated Driver and MOSFET"                                                                                          
U20        ""         74LVC1G97            TopLayer TSOP65P211-6N                      7.3660       52.4510      0        "Logic gate configurabile"                                                                                              
U19        ""         LMV358               TopLayer SOIC127P600-8N                     34.2900      39.2430      270      "Dual Operational Amplifier Single Supply Rail to Rail"                                                                 
U18        ""         74LVC1G97            TopLayer TSOP65P211-6N                      2.7940       52.4510      0        "Logic gate configurabile"                                                                                              
U17        ""         NCP302155A           TopLayer NCP302155A                         14.3510      46.5965      270      "Integrated Driver and MOSFET"                                                                                          
U16        ""         R7FA4M3AF3CFB        TopLayer TQFP50P2200X2200X170-144N          94.8690      88.2650      270      "RA4M3 100 MHz Arm Cortex-M33 core 144 pin"                                                                             
U15_2      ""         G3VM-61D1            TopLayer G3VM-351D                          202.3110     30.7340      90       "FotoMOS FET Relays"                                                                                                    
U15_1      ""         G3VM-61D1            TopLayer G3VM-351D                          229.7430     30.7340      90       "FotoMOS FET Relays"                                                                                                    
U14_2      ""         74HC4066             TopLayer SOIC127P600X175-14N-Medium_Density 189.6110     33.2740      180      "Quad bilateral switch"                                                                                                 
U14_1      ""         74HC4066             TopLayer SOIC127P600X175-14N-Medium_Density 217.5510     33.2740      180      "Quad bilateral switch"                                                                                                 
U13_2      ""         TPS22810DBV          TopLayer SOT23-6_(SOT26)                    200.9140     21.9710      180      "Load Switch With Thermal Protection 2.7-18-V, 79-mO On-Resistance"                                                     
U13_1      ""         TPS22810DBV          TopLayer SOT23-6_(SOT26)                    228.4730     21.9710      180      "Load Switch With Thermal Protection 2.7-18-V, 79-mO On-Resistance"                                                     
U12_2      ""         TPT1042V-DF6R        TopLayer HVSON8-0.65mm                      189.7380     46.9900      270      "High-speed CAN transceiver with Standby mode and VIO"                                                                  
U12_1      ""         TPT1042V-DF6R        TopLayer HVSON8-0.65mm                      218.6940     46.9900      270      "High-speed CAN transceiver with Standby mode and VIO"                                                                  
U11        ""         ST3485EBDR           TopLayer SOIC127P600-8N                     277.2410     9.7790       180      "Multipoint RS-485/RS-422 Transceiver"                                                                                  
U10        ""         AP62600              TopLayer VQFN2030-12(Type_A)                35.5520      28.4400      180      "4.5V TO 18VINPUT, 6A SYNCHRONOUS BUCK CONVERTER"                                                                       
U9         ""         TPS22810DBV          TopLayer SOT23-6_(SOT26)                    245.3640     27.8130      270      "Load Switch With Thermal Protection 2.7-18-V, 79-mO On-Resistance"                                                     
U8         ""         TPS22810DBV          TopLayer SOT23-6_(SOT26)                    251.3330     27.8130      270      "Load Switch With Thermal Protection 2.7-18-V, 79-mO On-Resistance"                                                     
U7         ""         TPS22810DBV          TopLayer SOT23-6_(SOT26)                    256.6670     27.8130      270      "Load Switch With Thermal Protection 2.7-18-V, 79-mO On-Resistance"                                                     
U6         ""         AZ1117IH-3.3         TopLayer SOT223-SOT230P700X180-4N           60.0710      35.4330      0        "Regolatore LDO fixed 3.3V 1A"                                                                                          
U5         ""         TS3USB30EDGSR        TopLayer TSSOP50P491-10N                    153.2890     119.5070     90       "High-Speed USB 2.0 (480-Mbps) 1:2 Multiplexer/Demultiplexer Switch With Single Enable"                                 
U4         ""         AP22814ASN           TopLayer U-DFN2020-127P600-6N               156.2100     127.5080     270      "Single  channel current-limited  integrated high-side power switch - Active High - DFN"                                
U1         ""         "Raspberry Pi 4"     TopLayer MODULE_RASPBERRY_PI_4B             64.4950      166.5950     180      "BCM2711 Raspberry Pi 4 Model B 4GB - ARM Cortex-A72 MPU Embedded Evaluation Board"                                     
TR1        50K        Giri                 TopLayer TRIMMER_3296W                      255.6510     137.1600     90       Trimmer                                                                                                                 
SW6        ""         Button               TopLayer Button_6x6_PHT                     173.7500     171.7500     90       "Button SPST"                                                                                                           
SW5        ""         Button               TopLayer Button_6x6_PHT                     156.8500     181.7500     90       "Button SPST"                                                                                                           
SW4        ""         Button               TopLayer Button_6x6_PHT                     166.8500     181.7500     90       "Button SPST"                                                                                                           
SW3        ""         Button               TopLayer Button_6x6_PHT                     147.3500     181.7500     90       "Button SPST"                                                                                                           
SW2        ""         Button               TopLayer Button_6x6_PHT                     156.8500     171.7500     90       "Button SPST"                                                                                                           
SW1        ""         Button               TopLayer Button_6x6_PHT                     156.8500     191.7500     90       "Button SPST"                                                                                                           
R79        100K       Resistor             TopLayer 0603M                              222.6310     133.3500     90       Resistor                                                                                                                
R78        100        Resistor             TopLayer 0603M                              225.8060     132.4610     180      Resistor                                                                                                                
R77        CNM        Resistor             TopLayer 0603M                              230.5050     130.8100     270      Resistor                                                                                                                
R76        100K       Resistor             TopLayer 0603M                              220.3450     133.3500     270      Resistor                                                                                                                
R75        0          Resistor             TopLayer 0603M                              233.1720     131.6990     180      Resistor                                                                                                                
R74        100K       Resistor             TopLayer 0603M                              231.6480     142.9317     0        Resistor                                                                                                                
R73        100K       Resistor             TopLayer 0603M                              231.6480     141.6304     180      Resistor                                                                                                                
R72        100K       Resistor             TopLayer 0603M                              212.8520     148.2090     0        Resistor                                                                                                                
R71        10K        Resistor             TopLayer 0603M                              211.9630     145.4150     90       Resistor                                                                                                                
R70        10K        Resistor             TopLayer 0603M                              212.8520     149.6060     180      Resistor                                                                                                                
R69        100K       Resistor             TopLayer 0603M                              213.7410     145.4150     270      Resistor                                                                                                                
R68        5.1K       Resistor             TopLayer 0603M                              286.3850     152.6540     180      Resistor                                                                                                                
R67        10K        Resistor             TopLayer 0603M                              260.8580     144.1450     270      Resistor                                                                                                                
R66        10K        Resistor             TopLayer 0603M                              229.7430     151.3840     0        Resistor                                                                                                                
R65        5.1K       Resistor             TopLayer 0603M                              272.2880     144.6530     180      Resistor                                                                                                                
R64        121K       Resistor             TopLayer 0603M                              242.3160     145.7960     0        Resistor                                                                                                                
R63        36K        Resistor             TopLayer 0603M                              249.7836     137.1600     0        Resistor                                                                                                                
R62        61.9K      Resistor             TopLayer 0603M                              243.2050     149.8600     90       Resistor                                                                                                                
R61        100K       Resistor             TopLayer 0603M                              233.1466     148.3360     90       Resistor                                                                                                                
R60        0.1        Resistor             TopLayer 1206M                              208.6610     153.1620     90       Resistor                                                                                                                
R59        1K         Resistor             TopLayer 0603M                              204.9780     152.5270     90       Resistor                                                                                                                
R58        100K       Resistor             TopLayer 0603M                              96.5200      18.5420      180      Resistor                                                                                                                
R57        100        Resistor             TopLayer 0603M                              101.9810     27.3050      180      Resistor                                                                                                                
R56        100K       Resistor             TopLayer 0603M                              96.5200      24.5110      180      Resistor                                                                                                                
R55        100K       Resistor             TopLayer 0603M                              99.6950      17.6530      90       Resistor                                                                                                                
R54        100K       Resistor             TopLayer 0603M                              99.9490      23.6220      90       Resistor                                                                                                                
R53        100K       Resistor             TopLayer 0603M                              113.2840     23.7490      180      Resistor                                                                                                                
R52        470K       Resistor             TopLayer 0603M                              112.3950     21.0820      270      Resistor                                                                                                                
R51        33         Resistor             TopLayer 0603M                              47.8790      22.0980      90       Resistor                                                                                                                
R50        6.8K       Resistor             TopLayer 0603M                              31.7500      46.8630      90       Resistor                                                                                                                
R49        86.6K      Resistor             TopLayer 0603M                              33.6550      46.8630      270      Resistor                                                                                                                
R48        470K       Resistor             TopLayer 0603M                              35.6870      46.8630      90       Resistor                                                                                                                
R47        33         Resistor             TopLayer 0603M                              7.8740       46.3550      180      Resistor                                                                                                                
R46        10K        Resistor             TopLayer 0603M                              70.4850      88.0110      0        Resistor                                                                                                                
R45_2      120        Resistor             TopLayer 0603M                              193.1670     21.0312      0        Resistor                                                                                                                
R45_1      120        Resistor             TopLayer 0603M                              221.1070     20.9550      0        Resistor                                                                                                                
R44_2      560        Resistor             TopLayer 0603M                              205.7146     27.0510      180      Resistor                                                                                                                
R44_1      560        Resistor             TopLayer 0603M                              233.1720     27.0510      180      Resistor                                                                                                                
R43_2      100K       Resistor             TopLayer 0603M                              205.7400     22.9108      180      Resistor                                                                                                                
R43_1      100K       Resistor             TopLayer 0603M                              233.1720     22.9870      180      Resistor                                                                                                                
R42_2      100K       Resistor             TopLayer 0603M                              193.1670     46.2788      270      Resistor                                                                                                                
R42_1      100K       Resistor             TopLayer 0603M                              221.8690     46.3550      270      Resistor                                                                                                                
R41        15K        Resistor             TopLayer 0603M                              279.2730     31.3690      180      Resistor                                                                                                                
R40        47k        Resistor             TopLayer 0603M                              275.4630     33.0200      0        Resistor                                                                                                                
R39        22K        Resistor             TopLayer 0603M                              279.2730     33.0200      0        Resistor                                                                                                                
R38        15K        Resistor             TopLayer 0603M                              279.0190     25.4000      180      Resistor                                                                                                                
R37        47k        Resistor             TopLayer 0603M                              275.4630     27.0510      0        Resistor                                                                                                                
R36        22K        Resistor             TopLayer 0603M                              279.0190     27.0510      0        Resistor                                                                                                                
R35        15K        Resistor             TopLayer 0603M                              278.8920     19.1770      180      Resistor                                                                                                                
R34        47k        Resistor             TopLayer 0603M                              275.4630     20.8280      0        Resistor                                                                                                                
R33        22K        Resistor             TopLayer 0603M                              278.8920     20.8280      0        Resistor                                                                                                                
